"ITEM_CODE","ITEM_TYPE","ITEM_NAME"
"SGS","NAT_REGN_CODE","NAT_REGN_CODE"
"ESP","NAT_REGN_CODE","NAT_REGN_CODE"
"LKA","NAT_REGN_CODE","NAT_REGN_CODE"
"SDN","NAT_REGN_CODE","NAT_REGN_CODE"
"SUR","NAT_REGN_CODE","NAT_REGN_CODE"
"SJM","NAT_REGN_CODE","NAT_REGN_CODE"
"SWZ","NAT_REGN_CODE","NAT_REGN_CODE"
"SWE","NAT_REGN_CODE","NAT_REGN_CODE"
"CHE","NAT_REGN_CODE","NAT_REGN_CODE"
"SYR","NAT_REGN_CODE","NAT_REGN_CODE"
"TJK","NAT_REGN_CODE","NAT_REGN_CODE"
"TZA","NAT_REGN_CODE","NAT_REGN_CODE"
"THA","NAT_REGN_CODE","NAT_REGN_CODE"
"TGO","NAT_REGN_CODE","NAT_REGN_CODE"
"TKL","NAT_REGN_CODE","NAT_REGN_CODE"
"TON","NAT_REGN_CODE","NAT_REGN_CODE"
"TTO","NAT_REGN_CODE","NAT_REGN_CODE"
"TUN","NAT_REGN_CODE","NAT_REGN_CODE"
"TUR","NAT_REGN_CODE","NAT_REGN_CODE"
"TKM","NAT_REGN_CODE","NAT_REGN_CODE"
"TCA","NAT_REGN_CODE","NAT_REGN_CODE"
"TUV","NAT_REGN_CODE","NAT_REGN_CODE"
"UGA","NAT_REGN_CODE","NAT_REGN_CODE"
"UKR","NAT_REGN_CODE","NAT_REGN_CODE"
"ARE","NAT_REGN_CODE","NAT_REGN_CODE"
"GBR","NAT_REGN_CODE","NAT_REGN_CODE"
"USA","NAT_REGN_CODE","NAT_REGN_CODE"
"UMI","NAT_REGN_CODE","NAT_REGN_CODE"
"URY","NAT_REGN_CODE","NAT_REGN_CODE"
"UZB","NAT_REGN_CODE","NAT_REGN_CODE"
"VUT","NAT_REGN_CODE","NAT_REGN_CODE"
"VAT","NAT_REGN_CODE","NAT_REGN_CODE"
"VEN","NAT_REGN_CODE","NAT_REGN_CODE"
"VNM","NAT_REGN_CODE","NAT_REGN_CODE"
"VGB","NAT_REGN_CODE","NAT_REGN_CODE"
"VIR","NAT_REGN_CODE","NAT_REGN_CODE"
"WLF","NAT_REGN_CODE","NAT_REGN_CODE"
"ESH","NAT_REGN_CODE","NAT_REGN_CODE"
"YEM","NAT_REGN_CODE","NAT_REGN_CODE"
"YUG","NAT_REGN_CODE","NAT_REGN_CODE"
"ZMB","NAT_REGN_CODE","NAT_REGN_CODE"
"ZWE","NAT_REGN_CODE","NAT_REGN_CODE"
"SRB","NAT_REGN_CODE","NAT_REGN_CODE"
"AFG","NAT_REGN_CODE","阿富汗"
"ALB","NAT_REGN_CODE","阿尔巴尼亚"
"DZA","NAT_REGN_CODE","阿尔及利亚"
"ASM","NAT_REGN_CODE","美属萨摩亚"
"AND","NAT_REGN_CODE","安道尔"
"AGO","NAT_REGN_CODE","安哥拉"
"AIA","NAT_REGN_CODE","安圭拉"
"ATA","NAT_REGN_CODE","南极洲"
"ATG","NAT_REGN_CODE","安提瓜和巴布达"
"ARG","NAT_REGN_CODE","阿根廷"
"ARM","NAT_REGN_CODE","亚美尼亚"
"ABW","NAT_REGN_CODE","阿鲁巴"
"AUS","NAT_REGN_CODE","澳大利亚"
